index	appearanceTemplateName	fireClientEffectTemplateName	hitOtherClientEffectTemplateName	hitMetalClientEffectTemplateName	hitStoneClientEffectTemplateName	hitAcidClientEffectTemplateName	hitIceClientEffectTemplateName	hitMoltenStoneClientEffectTemplateName	hitObsidianStoneClientEffectTemplateName	hitShieldClientEffectTemplateName	hitShieldShellClientEffectTemplateName	hitFriendlyFireClientEffectTemplateName	numLightningBolts
i	s	s	s	s	s	s	s	s	s	s	s	s	i[1]
0	appearance/pt_bolt_red_space.prt	clienteffect/cbt_gun_yt1300.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
1	appearance/pt_bolt_red_space.prt	clienteffect/cbt_gun_xwing.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
2	appearance/pt_bolt_green_space.prt	clienteffect/cbt_gun_tie.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
3	appearance/pt_bolt_blue_space.prt	clienteffect/cbt_gun_z95.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
4	appearance/pt_bolt_red_space.prt	clienteffect/cbt_gun_awing.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
5	appearance/pt_bolt_blue_space.prt	clienteffect/cbt_gun_bwing.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
6	appearance/pt_bolt_green_space.prt	clienteffect/cbt_gun_tie_advanced.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal.cef	clienteffect/cbt_bolt_hit_asteroid.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
7	appearance/pt_bolt_slug_thrower_slug.prt	clienteffect/cbt_gun_slug_thrower_slug.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_slug_thrower_slug.cef	clienteffect/cbt_bolt_hit_asteroid_slug_thrower_slug.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
8	appearance/pt_bolt_slug_thrower_disruptor.prt	clienteffect/cbt_gun_slug_thrower_disruptor.cef	clienteffect/cbt_bolt_hit_asteroid_other.cef	clienteffect/cbt_bolt_hit_metal_slug_thrower_disruptor.cef	clienteffect/cbt_bolt_hit_asteroid_slug_thrower_disruptor.cef	clienteffect/cbt_bolt_hit_acidasteroid.cef	clienteffect/cbt_bolt_hit_iceasteroid.cef	clienteffect/cbt_bolt_hit_moltenasteroid.cef	clienteffect/cbt_bolt_hit_blackasteroid.cef	clienteffect/cbt_hit_shield_event_md.cef	clienteffect/cbt_hit_shield_shell_event_md.cef	clienteffect/cbt_friendlyfire_warn.cef	1
