component	engine	weapon_0
s	s	s
collection_reward_booster_01_mk1		
collection_reward_booster_01_mk2		
collection_reward_booster_01_mk3		
collection_reward_booster_01_mk4		
collection_reward_booster_01_mk5		
bst_corellian_advanced_thrust_enhancer		
bst_corellian_elite_thrust_enhancer		
bst_corellian_experimental_tjh3		
bst_corellian_heavy_thrust_enhancer		
bst_corellian_highly_modified_elite_thrust_enhancer		
bst_corellian_performance_advanced_thrust_enhancer		
bst_corellian_promotional_standard_thrust_enhancer		
bst_corellian_standard_thrust_enhancer		
bst_corellian_tjh3		
bst_corellian_tuned_heavy_thrust_enhancer		
bst_cygnus_flashboost3		
bst_cygnus_flashboost4		
bst_elite_booster		
bst_freitek_outrunner_x1		
bst_gallofree_light		
bst_generic		
bst_incom_deluxe_fynock		
bst_incom_elite_sls_1		
bst_incom_enhanced_mynock		
bst_incom_fynock		
bst_incom_intimidator_mk1		
bst_incom_intimidator_mk2		
bst_incom_intimidator_mk3		
bst_incom_intimidator_mk4		
bst_incom_mynock		
bst_incom_nkj31		
bst_incom_performance_nkj31		
bst_incom_sls_1		
bst_incom_supercharged_vynock		
bst_incom_vynock		
bst_kde_br12		
bst_kessel_imperial_cygnus_hyperthrust		
bst_kessel_imperial_sds_experimental_b7		
bst_kessel_imperial_sfs_ultra_thrust		
bst_kessel_rebel_incom_quicksilver		
bst_kessel_rebel_incom_windrunner		
bst_kessel_rebel_mandal_lightning_m1		
bst_koensayr_advanced		
bst_koensayr_charged_advanced		
bst_koensayr_deluxe_elite		
bst_koensayr_elite		
bst_koensayr_evh12		
bst_koensayr_heavy		
bst_koensayr_modified_heavy		
bst_koensayr_racer_mk1		
bst_koensayr_racer_mk2		
bst_koensayr_racer_mk3		
bst_koensayr_racer_mk4		
bst_koensayr_special_evh12		
bst_koensayr_improved_standard		
bst_koensayr_standard		
bst_kse_als_1		
bst_kse_bti1		
bst_kse_bti2		
bst_kse_bti3		
bst_kse_cb6		
bst_kse_deluxe_bti3		
bst_kse_elite_als_1		
bst_kse_enhanced_bti2		
bst_kse_performance_bti1		
bst_kse_performance_cb6		
bst_kuat_military_mk1		
bst_kuat_military_mk2		
bst_kuat_military_mk3		
bst_kuat_military_mk4		
bst_mandal_deluxe_jbj_mk4		
bst_mandal_enhanced_jbj_mk1		
bst_mandal_improved_jbj_mk3		
bst_mandal_jbj_mk1		
bst_mandal_jbj_mk2		
bst_mandal_jbj_mk3		
bst_mandal_jbj_mk4		
bst_mandal_jbj_mk5		
bst_mandal_limited_jbj_mk5		
bst_mandal_modified_jbj_mk2		
bst_mission_reward_imperial_rss_ion_booster		
bst_mission_reward_neutral_mandal_m_series		
bst_mission_reward_neutral_mandal_q_series		
bst_mission_reward_rebel_novaldex_hypernova		
bst_mission_reward_rebel_qualdex_halcyon		
bst_mk1		
bst_mk2		
bst_mk3		
bst_mk4		
bst_mk5		
bst_moncal_advanced		
bst_moncal_charged_heavy		
bst_moncal_deluxe_standard		
bst_moncal_elite		
bst_moncal_enhanced_elite		
bst_moncal_heavy		
bst_moncal_jlc37		
bst_moncal_limited_jlc37		
bst_moncal_rare_advanced		
bst_moncal_standard		
bst_nova_breaker		
bst_novaldex_pulsar		
bst_novaldex_pulsar_advanced		
bst_novaldex_quasar		
bst_novaldex_quasar_advanced		
bst_qualdex_xboost_mk1		
bst_qualdex_xboost_mk2		
bst_qualdex_xboost_mk3		
bst_qualdex_xboost_mk4		
bst_reward_incom_elite		
bst_reward_koensayr_elite		
bst_reward_kuat_elite		
bst_reward_novaldex_elite		
bst_reward_qualdex_elite		
bst_rss_special		
bst_sap_imperial_1		
bst_sap_imperial_2		
bst_sds_enhanced_imperial_2		
bst_sfs_imperial_1		
bst_sfs_imperial_2		
bst_slayn_ion_booster_mk1		
bst_sorosuub_enhanced_liberator_mk4		
bst_sorosuub_improved_liberator_mk2		
bst_sorosuub_liberator_mk1		
bst_sorosuub_liberator_mk2		
bst_sorosuub_liberator_mk3		
bst_sorosuub_liberator_mk4		
bst_sorosuub_liberator_mk5		
bst_sorosuub_prized_liberator_mk1		
bst_sorosuub_supercharged_liberator_mk3		
bst_sorosuub_well_tuned_liberator_mk5		
bst_subpro_accelatron_mk1		
bst_subpro_accelatron_mk2		
bst_subpro_accelatron_mk3		
bst_subpro_accelatron_mk4		
bst_subpro_accelatron_mk5		
bst_subpro_deluxe_accelatron_mk3		
bst_subpro_elite_accelatron_mk5		
bst_subpro_enhanced_accelatron_mk2		
bst_subpro_modified_accelatron_mk4		
bst_subpro_tuned_accelatron_mk1		
bst_surronian_accelerator_mk1		
bst_surronian_accelerator_mk2		
bst_surronian_nomad_x4		
bst_surronian_nomad_x8		
bst_tiefighter_basic		
bst_xwing_booster_s01		
bst_z95_basic		
eng_bezelbok_kessel_runner	delta7_engine_s01:engine1	
eng_corellian_cruiser_grade_mk1	delta7_engine_s01:engine1	
eng_corellian_cruiser_grade_mk2	delta7_engine_s01:engine1	
eng_corellian_deluxe_cruiser_grade_mk1	delta7_engine_s01:engine1	
eng_crafted_incom_fusialthrust	delta7_engine_s01:engine1	
eng_crafted_novaldex_eventhorizon	delta7_engine_s01:engine1	
eng_crafted_qualdex_kyromaster	delta7_engine_s01:engine1	
eng_cygnus_hd3	delta7_engine_s01:engine1	
eng_cygnus_hd7	delta7_engine_s01:engine1	
